	TIMESTAMP	ACTION	Unnamed: 2	DAY
160	16:37:58	CLOSE_DAY		145
161	16:38:13	CLOSE_DAY		146
162	16:45:32	CONTINUE		147
163	16:46:06	CLOSE_DAY		147
164	16:46:46	CLOSE_DAY		148
165	16:47:25	CLOSE_DAY		149
166	16:48:05	CLOSE_DAY		150
167	16:48:53	CLOSE_DAY		151
168	16:49:33	CLOSE_DAY		152
169	16:50:12	CLOSE_DAY		153
170	16:50:52	CLOSE_DAY		154
171	16:51:36	CLOSE_DAY		155
172	16:52:16	CLOSE_DAY		156
173	16:52:55	CLOSE_DAY		157
174	16:53:36	CLOSE_DAY		158
175	16:54:15	CLOSE_DAY		159
176	16:54:55	CLOSE_DAY		160
177	16:55:35	CLOSE_DAY		161
178	16:56:14	CLOSE_DAY		162
179	16:57:16	CLOSE_DAY		163
180	16:57:56	CLOSE_DAY		164
181	16:58:35	CLOSE_DAY		165
182	16:59:29	CLOSE_DAY		166
183	16:59:33	CLOSE_DAY		167
184	17:01:54	CONTINUE		168
185	17:02:30	CLOSE_DAY		168
186	17:03:10	CLOSE_DAY		169
187	17:03:49	CLOSE_DAY		170
188	17:04:29	CLOSE_DAY		171
189	17:05:10	CLOSE_DAY		172
190	17:05:49	CLOSE_DAY		173
191	17:06:29	CLOSE_DAY		174
192	17:07:08	CLOSE_DAY		175
193	17:07:48	CLOSE_DAY		176
194	17:08:27	CLOSE_DAY		177
195	17:09:06	CLOSE_DAY		178
196	17:09:46	CLOSE_DAY		179
197	17:10:25	CLOSE_DAY		180
198	17:11:05	CLOSE_DAY		181
199	17:12:00	CLOSE_DAY		182
200	17:12:47	CLOSE_DAY		183
201	17:13:26	CLOSE_DAY		184
202	17:14:06	CLOSE_DAY		185
203	17:14:45	CLOSE_DAY		186
204	17:15:25	CLOSE_DAY		187
205	17:15:37	CLOSE_DAY		188
206	17:20:12	CONTINUE		189
207	17:20:37	CLOSE_DAY		189
208	17:21:17	CLOSE_DAY		190
209	17:21:56	CLOSE_DAY		191
210	17:22:36	CLOSE_DAY		192
211	17:23:15	CLOSE_DAY		193
212	17:23:55	CLOSE_DAY		194
213	17:24:34	CLOSE_DAY		195
214	17:25:14	CLOSE_DAY		196
215	17:25:53	CLOSE_DAY		197
216	17:26:37	CLOSE_DAY		198
217	17:27:18	CLOSE_DAY		199
218	17:28:00	CLOSE_DAY		200
219	17:28:39	CLOSE_DAY		201
220	17:29:19	CLOSE_DAY		202
221	17:29:58	CLOSE_DAY		203
222	17:30:38	CLOSE_DAY		204
223	17:31:17	CLOSE_DAY		205
224	17:33:29	CONTINUE		206
225	17:34:08	CLOSE_DAY		206
226	17:34:48	CLOSE_DAY		207
227	17:36:13	CONTINUE		208
228	17:36:53	CLOSE_DAY		208
229	17:37:04	CLOSE_DAY		209
230	17:38:21	CONTINUE		210
231	17:39:00	CLOSE_DAY		210
232	17:39:13	CONTINUE		211
233	17:39:37	CLOSE_DAY		211
234	17:40:02	CLOSE_DAY		212
235	17:40:27	CLOSE_DAY		213
236	17:40:57	CLOSE_DAY		214
237	17:41:47	CLOSE_DAY		215
238	17:42:13	CLOSE_DAY		216
239	17:42:36	CLOSE_DAY		217
240	17:43:01	CLOSE_DAY		218
241	17:43:26	CLOSE_DAY		219
242	17:43:51	CLOSE_DAY		220
243	17:44:12	CLOSE_DAY		221
244	17:44:37	CLOSE_DAY		222
245	17:44:57	CLOSE_DAY		223
246	17:45:22	CLOSE_DAY		224
247	17:45:46	CLOSE_DAY		225
248	17:46:10	CLOSE_DAY		226
249	17:46:35	CLOSE_DAY		227
250	17:47:01	CLOSE_DAY		228
251	17:47:31	CLOSE_DAY		229
252	17:47:54	CLOSE_DAY		230
253	17:48:19	CONTINUE		231
254	17:48:46	CLOSE_DAY		231
255	17:49:10	CLOSE_DAY		232
256	17:49:36	CLOSE_DAY		233
257	17:49:59	CLOSE_DAY		234
258	17:50:22	CLOSE_DAY		235
259	17:50:45	CLOSE_DAY		236
260	17:51:07	CLOSE_DAY		237
261	17:51:30	CLOSE_DAY		238
262	17:51:52	CLOSE_DAY		239
263	17:52:13	CLOSE_DAY		240
264	17:52:37	CLOSE_DAY		241
265	17:52:58	CLOSE_DAY		242
266	17:53:21	CLOSE_DAY		243
267	17:53:44	CLOSE_DAY		244
268	17:54:06	CLOSE_DAY		245
269	17:54:27	CLOSE_DAY		246
270	17:54:49	CLOSE_DAY		247
271	17:55:13	CLOSE_DAY		248
272	17:55:22	CLOSE_DAY		249
273	17:55:43	CLOSE_DAY		250
274	17:55:47	CLOSE_DAY		251
