xai,variant,ROC,ROC-std,Cos,Cos-std,Pearson,Pearson-std
shap,kmeans,0.7687790939795578,0.1299471461928023,0.4634581925033511,0.1121590216548447,0.2172673315312951,0.2054689598878958
shap,mean,0.6923122491337093,0.246094489338814,0.3474424524631711,0.3878795114775539,0.2136428361476184,0.3114370195466424
shap,zeros,0.7522244946336117,0.1213115896763796,-0.0802687910874143,0.1294010725697912,0.2015313228465096,0.1860161906888481
shap,single_optimum,0.8929396821754435,0.1000597994568375,0.6685949923831356,0.1909714605108604,0.3188021333709166,0.3420330353183077
lime,kmeans,0.7497430277102348,0.0662801043507037,0.3127343302279418,0.0897737461796139,0.2292160248278777,0.1758185920872542
captum_gradient,zeros,0.6141791880598219,0.1185730451001851,0.0691295364397164,0.105163956276612,0.3259592590959718,0.3738613216809615
captum_grad_input,zeros,0.8669926259677586,0.1541659129412995,0.6522335962218143,0.179943512693379,0.3094357642620489,0.3307067829640238
captum_lrp,zeros,0.6631675559832423,0.19923090775368,0.2802243124932126,0.2278820307442866,0.1872623870348429,0.2401642516800484
captum_intgrad,mean,0.7437821064871442,0.1936258232804081,0.3398007093360389,0.2874786850632395,0.2619116023020988,0.2778255425339304
captum_intgrad,zeros,0.7106976668316547,0.1291621865404477,-0.0517607867499109,0.1062575912931389,0.2215799811150487,0.1872159314126957
captum_intgrad,single_optimum,0.9112547454174229,0.061450831084504824,0.5474439030923498,0.1516348060818593,0.25193821480201684,0.26434352309786524
