xai,variant,ROC,ROC-std,Cos,Cos-std,Pearson,Pearson-std
shap,kmeans,0.6078256912049153,0.3464007766164991,0.0122126776126753,0.4933189313772129,,
shap,mean,0.7581738536807372,0.2557314205999156,0.3836388829347832,0.3692752686953965,0.2479777373446084,0.348382330281245
shap,zeros,0.7743167595858458,0.25727708255248,-4.31316933860285e-06,0.1995138293338319,0.238487514288075,0.3061875865708389
shap,single_optimum,0.8646854022073045,0.1626757431453473,0.6167604351133972,0.2806384493174833,0.3320053889660554,0.365999868673065
lime,kmeans,0.5532244851518945,0.098385630465293,0.1570791922661462,0.0619036060833324,0.3711980159266126,0.389645967898437
captum_gradient,zeros,0.5240186596882467,0.186412838431974,-0.0179702684527419,0.1685186335252131,0.2397559263064931,0.3253857749275442
captum_grad_input,zeros,0.6110035271361929,0.3036763665093002,0.1787545659740679,0.421354353451131,0.0728622578559398,0.3657177406916015
captum_lrp,zeros,0.662786437592445,0.3087045205363084,0.2873989210613543,0.5109451681243853,0.2355017387321607,0.4208239522436294
captum_intgrad,mean,0.6587086130390262,0.3278617639026285,0.3052881519151338,0.4494351935215327,0.2044695809641496,0.3813785069173709
captum_intgrad,zeros,0.6758607350096713,0.2142689039965771,0.0069340694735227,0.1810630981530191,0.265227018657504,0.2763418004311878
captum_intgrad,single_optimum,0.7311332347252247,0.21129903866888897,0.3717947306652492,0.2426001438680601,0.27105579678607206,0.27749223143867013
