xai,variant,ROC,ROC-std,Cos,Cos-std,Pearson,Pearson-std
shap,kmeans,0.558332510181823,0.2314694154123661,0.1173106573761259,0.3570774851708138,,
shap,mean,0.6833323979338898,0.2051181295787509,0.314930301475015,0.3042580649492687,,
shap,zeros,0.5986050388097228,0.2011526567447251,-0.1382124060229679,0.1996054821934494,0.1983070723447967,0.3304366835829294
shap,single_optimum,0.8258267340902585,0.1388210684538195,0.4936470223665627,0.290572393544973,0.3046931039787925,0.3313453527117911
captum_gradient,zeros,0.5128319405235617,0.2521225230944351,-0.016927813983704,0.1852858996236047,0.1630279901904376,0.3116416815697836
captum_grad_input,zeros,0.7105104474763859,0.2622243626274931,0.3356832429685805,0.3932222301036027,0.2545251146355674,0.3288548568225895
captum_lrp,zeros,0.5521306715606766,0.2828550461075948,0.0197794843093055,0.3987722289285473,0.1005615570021831,0.3336545227176593
lime,kmeans,0.6957379459750699,0.0742970051922194,0.1684065948301788,0.0419169440887695,0.4074331805861894,0.3994122295548941
captum_intgrad,mean,0.7184991515927046,0.1691545074343863,0.3764917757757722,0.2540469795399543,0.2617693545481755,0.2693763186266272
captum_intgrad,zeros,0.5706774162770728,0.2477390483173317,-0.145774819227795,0.2468470918342053,0.1547706939625813,0.3605289875318555
captum_intgrad,single_optimum,0.7310719677623936,0.19198926098625385,0.3056710068594513,0.26256076942824097,0.27953621862609496,0.31492763289877423
